X,Y,OBJECTID,PRJ_NUMBER,FILE_NUMBR,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,TYPE,OPERATING,OP_CLASS,LOTS,APPDATE,PRISTATUS,SECSTATUS,ONUMBER,OROUTE,FSOURCE,DATASOURCE,NOTES,LAT_DD,LONG_DD,MGRS,GOOGLEMAP,GCID,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE
-82.63852978,27.81894084,2001,PRMZ001687,9318,TREASURE VILLAGE TRAILER PARK,5151 4TH ST N,ST PETERSBURG,33703,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,150,8/16/1985,APPROVED, ,DE00012620, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [5151 4TH ST N, ST PETERSBURG, FLORIDA, 33703]",27.81894084,-82.63852978,17RLL3861578223,https://www.google.com/maps/place/17RLL3861578223,2001,TREASURE VILLAGE TRAILER PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.18980163,28.24112046,2002,PRMZ001342,9017,TREE LANE VILLAGE,5729 DAYTON ST,ZEPHYRHILLS,33542,PASCO,MOBILE HOME PARK,PRIVATE,PRIVATE,185,6/13/1986,APPROVED, ,DE00019068,C/O TEMPLE TERRACE VILLAGE,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [5729 DAYTON ST, ZEPHYRHILLS, FLORIDA, 33542]",28.24112046,-82.18980163,17RLM8327224487,https://www.google.com/maps/place/17RLM8327224487,2002,TREE LANE VILLAGE,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.19804087,25.85020869,2003,PRMZ001363,9034,TRINIDAD COURT,8202 NW MIAMI CT,MIAMI,33150,DADE,MOBILE HOME PARK,PRIVATE,PRIVATE,173,9/26/1985,APPROVED,DELINQUENT,DE00012328,C/O BENJAMIN FRAME,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [8202 NW MIAMI CT, MIAMI, FLORIDA, 33150]",25.85020869,-80.19804087,17RNJ8036159341,https://www.google.com/maps/place/17RNJ8036159341,2003,TRINIDAD COURT,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.45884178,27.71901031,2004,PRMY002066,7256,TRIPLE R MHP LLC,128 21ST ST NW,RUSKIN,33570,HILLSBOROUGH,MOBILE HOME PARK,PRIVATE,PRIVATE,10,10/29/1984,APPROVED, ,DE43591, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [128 21ST ST NW, RUSKIN, FLORIDA, 33570]",27.71901031,-82.45884178,17RLL5618466928,https://www.google.com/maps/place/17RLL5618466928,2004,TRIPLE R MHP LLC,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.69911822,28.32137394,2005,PRMZ001230,8915,TROPIC BREEZE,11310 US 19,PORT RICHEY,34668,PASCO,MOBILE HOME PARK,PRIVATE,PRIVATE,75,12/24/1985,APPROVED, ,DE43413, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [11310 US-19 N, PORT RICHEY, FLORIDA, 34668]",28.32137394,-82.69911822,17RLM3342333975,https://www.google.com/maps/place/17RLM3342333975,2005,TROPIC BREEZE,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.6008766,27.52138889,2006,PRMZ001463,9118,TROPIC ISLES CO-OP INC,3100 TENTH ST W,PALMETTO,34221,MANATEE,MOBILE HOME PARK,PRIVATE,PRIVATE,91,1/24/1986,APPROVED, ,DE00023280, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: STREETADDRESS, SCORE: 100, [3100 10TH ST W, PALMETTO, FLORIDA, 34221]",27.52138889,-82.6008766,17RLL4189645207,https://www.google.com/maps/place/17RLL4189645207,2006,TROPIC ISLES CO-OP INC,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-81.73589035,24.572511,2007,PRMY002408,7372,TROPIC PALMS MOBILE HOME PARK,6125 2ND ST,KEY WEST,33040,MONROE,MOBILE HOME PARK,PRIVATE,PRIVATE,25,12/11/1984,APPROVED,DELINQUENT,DE46355, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [6125 2ND ST, KEY WEST, FLORIDA, 33040]",24.572511,-81.73589035,17RMH2548517813,https://www.google.com/maps/place/17RMH2548517813,2007,TROPIC PALMS MOBILE HOME PARK,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.19352085,28.20379308,2008,PRMZ000517,8297,TROPICAL ACRE EST,3221 PARADISE WAY,ZEPHYRHILLS,33541,PASCO,MOBILE HOME PARK,PRIVATE,PRIVATE,367,1/7/1986,APPROVED, ,DE00000980, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [3221 PARADISE WAY, ZEPHYRHILLS, FLORIDA, 33541]",28.20379308,-82.19352085,17RLM8286720355,https://www.google.com/maps/place/17RLM8286720355,2008,TROPICAL ACRE EST,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-80.2364895,27.22921691,2009,PRMZ001173,8865,TROPICAL ACRES,1901 NE SAVANNAH RD,JENSEN BEACH,34957,MARTIN,MOBILE HOME PARK,PRIVATE,PRIVATE,31,4/1/1985,APPROVED, ,DE00017311, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [1901 NE SAVANNAH RD, JENSEN BEACH, FLORIDA, 34957]",27.22921691,-80.2364895,17RNL7559912054,https://www.google.com/maps/place/17RNL7559912054,2009,TROPICAL ACRES,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
-82.68833071,27.82472771,2010,PRMZ002977,9654,TROPICAL GARDENS MHP,4061-58 AVENUE NORTH,ST PETERSBURG,33714,PINELLAS,MOBILE HOME PARK,PRIVATE,PRIVATE,65,9/30/1985,APPROVED, ,DE00017706, ,GEOPLAN,DBPR,"BUSINESS ANALYST 2018, LOCATOR: POINTADDRESS, SCORE: 100, [4061 58TH AVE N, ST PETERSBURG, FLORIDA, 33714]",27.82472771,-82.68833071,17RLL3371878931,https://www.google.com/maps/place/17RLL3371878931,2010,TROPICAL GARDENS MHP,NV,2019-04-14T00:00:00.000Z,2019-04-16T00:00:00.000Z
