County,Trump,Clinton,Trumpvote,COUNTYNAME
Alachua,46834,75820,0.381838342,ALACHUA
Baker,10294,2112,0.829759794,BAKER
Bay,62194,21797,0.740484099,BAY
Bradford,8913,2924,0.75297795,BRADFORD
Brevard,181848,119679,0.603090271,BREVARD
Broward,260951,553320,0.320471931,BROWARD
Calhoun,4655,1241,0.789518318,CALHOUN
Charlotte,60218,33445,0.642921965,CHARLOTTE
Citrus,54456,22789,0.704977668,CITRUS
Clay,74963,27822,0.72931848,CLAY
Collier,105423,61085,0.63314075,COLLIER
Columbia,20368,7601,0.728234831,COLUMBIA
Desoto,6778,3781,0.641916848,DESOTO
Dixie,5822,1270,0.820924986,DIXIE
Duval,211672,205704,0.507149429,DUVAL
Escambia,88808,57461,0.60715531,ESCAMBIA
Flagler,33850,22026,0.605805713,FLAGLER
Franklin,4125,1744,0.702845459,FRANKLIN
Gadsden,6728,15020,0.30936178,GADSDEN
Gilchrist,6740,1458,0.822151744,GILCHRIST
Glades,2996,1271,0.702132646,GLADES
Gulf,5329,1720,0.755993758,GULF
Hamilton,3443,1904,0.643912474,HAMILTON
Hardee,5242,2149,0.709240969,HARDEE
Hendry,6195,4615,0.573080481,HENDRY
Hernando,58970,31795,0.649699774,HERNANDO
Highlands,29565,14937,0.664352164,HIGHLANDS
Hillsborough,266870,307896,0.464310693,HILLSBOROUGH
Holmes,7483,853,0.897672745,HOLMES
Indian River,48620,29043,0.626038139,INDIAN RIVER
Jackson,14257,6397,0.690277912,JACKSON
Jefferson,3930,3541,0.526033998,JEFFERSON
Lafayette,2809,518,0.844304178,LAFAYETTE
Lake,102188,62838,0.619223637,LAKE
Lee,191551,124908,0.605294841,LEE
Leon,53821,92068,0.368917465,LEON
Levy,13775,5101,0.729762662,LEVY
Liberty,2543,651,0.796180338,LIBERTY
Madison,4851,3526,0.579085592,MADISON
Manatee,101944,71224,0.588699991,MANATEE
Marion,107833,62041,0.63478225,MARION
Martin,53204,30185,0.638021801,MARTIN
Miami-Dade,333999,624146,0.348589201,DADE
Monroe,21904,18971,0.535877676,MONROE
Nassau,34266,10869,0.759189099,NASSAU
Okaloosa,71893,23780,0.751445026,OKALOOSA
Okeechobee,9356,3959,0.702666166,OKEECHOBEE
Orange,195216,329894,0.371762107,ORANGE
Osceola,50301,85458,0.370516872,OSCEOLA
Palm Beach,272402,374673,0.420974385,PALM BEACH
Pasco,142101,90142,0.611863436,PASCO
Pinellas,239201,233701,0.505815158,PINELLAS
Polk,157430,117433,0.572758065,POLK
Putnam,22138,10094,0.686832961,PUTNAM
Santa Rosa,65339,18464,0.779673759,SANTA ROSA
Sarasota,124438,97870,0.559754935,SARASOTA
Seminole,109443,105914,0.508193372,SEMINOLE
St. Johns,88684,43099,0.672954782,ST. JOHNS
St. Lucie,70289,66881,0.512422541,ST. LUCIE
Sumter,52730,22638,0.699633797,SUMTER
Suwannee,14287,3964,0.782806422,SUWANNEE
Taylor,6930,2152,0.763047787,TAYLOR
Union,4568,1014,0.818344679,UNION
Volusia,143007,109091,0.567267491,VOLUSIA
Wakulla,10512,4348,0.707402423,WAKULLA
Walton,25756,6876,0.78928659,WALTON
Washington,8637,2264,0.792312632,WASHINGTON
